HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
31710	UBE2NL	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	Approved			Xq27.3		NM_001012989	UBE2	Ubiquitin conjugating enzymes E2	102
15698	UBE2Q1	ubiquitin conjugating enzyme E2 Q1	Approved	UBE2Q	PRO3094, NICE-5	1q21.3	AJ243666	NM_017582	UBE2	Ubiquitin conjugating enzymes E2	102
19248	UBE2Q2	ubiquitin conjugating enzyme E2 Q2	Approved		DKFZp762C143	15q24.2	BC017708	NM_173469	UBE2	Ubiquitin conjugating enzymes E2	102
19907	UBE2R2	ubiquitin conjugating enzyme E2 R2	Approved		UBC3B, CDC34B, FLJ20419, MGC10481	9p13.3	AK000426	NM_017811	UBE2	Ubiquitin conjugating enzymes E2	102
17895	UBE2S	ubiquitin conjugating enzyme E2 S	Approved		E2-EPF	19q13.43	BC004236	NM_014501	UBE2	Ubiquitin conjugating enzymes E2	102
25009	UBE2T	ubiquitin conjugating enzyme E2 T	Approved		HSPC150, FANCT	1q32.1	AF161499	NM_014176	UBE2	Ubiquitin conjugating enzymes E2	102
28559	UBE2U	ubiquitin conjugating enzyme E2 U (putative)	Approved		MGC35130	1p31.3	BC029895	NM_152489	UBE2	Ubiquitin conjugating enzymes E2	102
12494	UBE2V1	ubiquitin conjugating enzyme E2 V1	Approved	UBE2V	UEV-1, CROC-1, UEV1A, CROC1	20q13.13	U39360	NM_021988	UBE2	Ubiquitin conjugating enzymes E2	102
12495	UBE2V2	ubiquitin conjugating enzyme E2 V2	Approved		UEV-2, DDVit-1, EDPF-1, MMS2, UEV2, EDPF1, DDVIT1, EDAF-1	8q11.21	X98091	NM_003350	UBE2	Ubiquitin conjugating enzymes E2	102
25616	UBE2W	ubiquitin conjugating enzyme E2 W	Approved		FLJ11011, UBC-16	8q21.11	AK001873	NM_001001481	UBE2	Ubiquitin conjugating enzymes E2	102
25847	UBE2Z	ubiquitin conjugating enzyme E2 Z	Approved		FLJ13855, USE1	17q21.32	BC015890	NM_023079	UBE2	Ubiquitin conjugating enzymes E2	102
16710	AKTIP	AKT interacting protein	Approved	FTS	FLJ13258	16q12.2	AK023320	NM_022476	UBE2	Ubiquitin conjugating enzymes E2	102
13516	BIRC6	baculoviral IAP repeat containing 6	Approved		BRUCE	2p22.3	AF265555	NM_016252	UBE2	Ubiquitin conjugating enzymes E2	102
1734	CDC34	cell division cycle 34	Approved		E2-CDC34, UBE2R1, UBC3	19p13.3	L22005	NM_004359	UBE2	Ubiquitin conjugating enzymes E2	102
12472	UBE2A	ubiquitin conjugating enzyme E2 A	Approved		UBC2, HHR6A, RAD6A	Xq24	AK223045	NM_003336	UBE2	Ubiquitin conjugating enzymes E2	102
12473	UBE2B	ubiquitin conjugating enzyme E2 B	Approved		UBC2, HHR6B, RAD6B	5q31.1	M74525	NM_003337	UBE2	Ubiquitin conjugating enzymes E2	102
15937	UBE2C	ubiquitin conjugating enzyme E2 C	Approved		UBCH10	20q13.12	U73379	NM_007019	UBE2	Ubiquitin conjugating enzymes E2	102
12474	UBE2D1	ubiquitin conjugating enzyme E2 D1	Approved	SFT	UbcH5A, UBCH5, UBC4/5, E2(17)KB1	10q21.1	BC015997	NM_003338	UBE2	Ubiquitin conjugating enzymes E2	102
12475	UBE2D2	ubiquitin conjugating enzyme E2 D2	Approved		UbcH5B, UBC4	5q31.2	L40146	NM_181838	UBE2	Ubiquitin conjugating enzymes E2	102
12476	UBE2D3	ubiquitin conjugating enzyme E2 D3	Approved		UbcH5C	4q24	U39318	NM_181893	UBE2	Ubiquitin conjugating enzymes E2	102
21647	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative)	Approved		HBUCE1	7p13	BC004104	NM_015983	UBE2	Ubiquitin conjugating enzymes E2	102
12477	UBE2E1	ubiquitin conjugating enzyme E2 E1	Approved		UbcH6	3p24.2	X92963	NM_003341	UBE2	Ubiquitin conjugating enzymes E2	102
